City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-01-11 19:42:19,-54.8,-68.3,44.6,70,75,9.22
1,Jamestown,US,2021-01-11 19:44:40,42.097,-79.2353,37.0,64,90,13.8
2,Sur,OM,2021-01-11 19:44:40,22.5667,59.5289,65.79,48,0,10.11
3,Souillac,MU,2021-01-11 19:44:40,-20.5167,57.5167,77.0,100,75,16.11
4,Punta Arenas,CL,2021-01-11 19:43:27,-53.15,-70.9167,48.2,61,75,27.63
5,Qaqortoq,GL,2021-01-11 19:44:41,60.7167,-46.0333,42.8,36,75,25.32
6,Calvinia,ZA,2021-01-11 19:44:41,-31.4707,19.776,76.1,32,3,6.06
7,Tasiilaq,GL,2021-01-11 19:44:41,65.6145,-37.6368,17.6,67,90,1.5
8,Dikson,RU,2021-01-11 19:44:41,73.5069,80.5464,2.73,95,100,4.52
9,Tonstad,NO,2021-01-11 19:44:41,58.6626,6.7169,36.0,95,5,3.0
10,Cesme,TR,2021-01-11 19:44:41,38.3228,26.3064,64.4,82,20,16.11
11,Clyde River,CA,2021-01-11 19:44:41,70.4692,-68.5914,5.0,85,90,14.97
12,Mahebourg,MU,2021-01-11 19:44:41,-20.4081,57.7,77.0,100,75,16.11
13,Umarkhed,IN,2021-01-11 19:44:41,19.6,77.7,70.2,47,71,0.78
14,Qaanaaq,GL,2021-01-11 19:44:42,77.484,-69.3632,0.99,74,0,6.51
15,Ramjibanpur,IN,2021-01-11 19:44:42,22.8333,87.6167,65.1,53,42,6.58
16,Port Hawkesbury,CA,2021-01-11 19:44:42,45.6169,-61.3485,30.0,69,1,9.22
17,East London,ZA,2021-01-11 19:44:42,-33.0153,27.9116,73.58,86,100,15.95
18,Ponta Delgada,PT,2021-01-11 19:44:42,37.7333,-25.6667,59.0,100,75,4.61
19,Hithadhoo,MV,2021-01-11 19:44:42,-0.6,73.0833,80.87,78,58,16.64
20,Balkanabat,TM,2021-01-11 19:44:42,39.5108,54.3671,43.34,76,0,6.31
21,Husavik,IS,2021-01-11 19:44:42,66.0449,-17.3389,14.0,85,0,4.61
22,Troitsko-Pechorsk,RU,2021-01-11 19:44:42,62.7084,56.1964,-13.56,85,24,3.24
23,Puerto Colombia,CO,2021-01-11 19:44:42,10.9878,-74.9547,89.6,62,20,14.97
24,Marsa Matruh,EG,2021-01-11 19:44:43,31.3525,27.2453,60.8,94,0,4.61
25,Kati,ML,2021-01-11 19:44:43,12.7441,-8.0726,78.8,27,0,3.44
26,Upernavik,GL,2021-01-11 19:44:43,72.7868,-56.1549,26.56,97,100,14.94
27,North Augusta,US,2021-01-11 19:44:43,33.5018,-81.9651,51.8,50,90,6.91
28,Malindi,KE,2021-01-11 19:44:43,-3.2175,40.1191,78.03,78,0,13.27
29,Hermanus,ZA,2021-01-11 19:44:43,-34.4187,19.2345,70.0,80,100,7.0
30,Sokoto,NG,2021-01-11 19:44:43,13.0609,5.239,77.45,17,0,9.33
31,Rokytnice Nad Jizerou,CZ,2021-01-11 19:44:43,50.7256,15.4336,28.0,93,82,1.01
32,Port Alfred,ZA,2021-01-11 19:44:43,-33.5906,26.891,73.18,87,100,19.64
33,Damghan,IR,2021-01-11 19:44:43,36.1683,54.348,33.58,76,0,1.34
34,Sorkjosen,NO,2021-01-11 19:44:43,69.8,20.9333,19.4,58,20,12.66
35,Bridlington,GB,2021-01-11 19:44:44,54.0831,-0.1919,46.99,85,100,11.99
36,Arraial Do Cabo,BR,2021-01-11 19:44:44,-22.9661,-42.0278,84.2,65,40,18.41
37,Richards Bay,ZA,2021-01-11 19:44:44,-28.783,32.0377,74.55,87,37,1.19
38,Saint-Georges,GD,2021-01-11 19:44:44,12.0564,-61.7485,84.2,65,40,23.02
39,Verkhnyaya Inta,RU,2021-01-11 19:44:44,65.9811,60.3094,-15.12,76,48,1.74
40,Harper,LR,2021-01-11 19:44:44,4.375,-7.7169,78.73,85,97,7.7
41,Cape Town,ZA,2021-01-11 19:40:21,-33.9258,18.4232,73.4,60,0,17.27
42,Sao Lourenco,BR,2021-01-11 19:42:05,-22.1164,-45.0544,75.99,82,94,1.54
43,Chuy,UY,2021-01-11 19:44:44,-33.6971,-53.4616,74.3,86,100,11.54
44,Karasjok,NO,2021-01-11 19:44:44,69.4719,25.5112,10.4,67,0,26.46
45,Esmeraldas,BR,2021-01-11 19:44:45,-19.7625,-44.3139,89.6,51,0,5.75
46,San Julian,MX,2021-01-11 19:44:45,21.0167,-102.1667,69.04,24,0,11.92
47,Nanortalik,GL,2021-01-11 19:44:45,60.1432,-45.2371,30.56,95,100,6.29
48,Huambo,AO,2021-01-11 19:44:45,-12.7761,15.7392,61.11,69,99,1.14
49,San Andres,CO,2021-01-11 19:44:45,12.5847,-81.7006,82.4,78,90,12.66
50,Ribeira Grande,PT,2021-01-11 19:44:45,38.5167,-28.7,62.6,94,75,10.36
51,Tazovskiy,RU,2021-01-11 19:44:45,67.4667,78.7,-1.84,92,100,16.89
52,Golovino,RU,2021-01-11 19:44:45,55.9613,40.4251,1.56,94,89,4.59
53,Satana,IN,2021-01-11 19:44:45,20.5833,74.2,72.41,57,0,1.57
54,Gniezno,PL,2021-01-11 19:44:45,52.5348,17.5826,33.01,73,32,13.62
55,Escanaba,US,2021-01-11 19:44:45,45.7453,-87.0646,28.99,86,90,9.22
56,Takoradi,GH,2021-01-11 19:44:46,4.8845,-1.7554,79.68,85,0,10.45
57,Wielun,PL,2021-01-11 19:44:46,51.221,18.5696,26.01,72,89,9.01
58,Aquiraz,BR,2021-01-11 19:44:46,-3.9014,-38.3911,86.0,62,0,10.36
59,Bredasdorp,ZA,2021-01-11 19:44:46,-34.5322,20.0403,68.0,83,100,16.11
60,Luderitz,NA,2021-01-11 19:44:46,-26.6481,15.1594,69.04,65,0,20.29
61,Georgetown,MY,2021-01-11 19:44:46,5.4112,100.3354,80.01,78,20,8.61
62,Hammerfest,NO,2021-01-11 19:44:46,70.6634,23.6821,21.2,68,0,14.97
63,Praia Da Vitoria,PT,2021-01-11 19:44:46,38.7333,-27.0667,62.6,94,40,9.53
64,Morondava,MG,2021-01-11 19:44:46,-20.2833,44.2833,83.82,75,0,6.26
65,Kavaratti,IN,2021-01-11 19:44:47,10.5669,72.642,82.15,74,100,6.91
66,Bijar,IR,2021-01-11 19:44:47,35.8668,47.6051,31.96,72,0,3.94
67,Busselton,AU,2021-01-11 19:44:47,-33.65,115.3333,55.0,78,100,9.71
68,Ponta Do Sol,PT,2021-01-11 19:44:47,32.6667,-17.1,59.0,58,75,10.36
69,Pisco,PE,2021-01-11 19:44:19,-13.7,-76.2167,73.4,73,0,8.05
70,Taoudenni,ML,2021-01-11 19:44:47,22.6783,-3.9836,63.34,28,100,9.86
71,Hryshkivtsi,UA,2021-01-11 19:44:47,49.9353,28.6038,27.43,94,93,3.69
72,Albion,US,2021-01-11 19:41:42,42.2431,-84.753,26.01,86,90,10.36
73,Horta,PT,2021-01-11 19:44:48,38.5333,-28.6333,62.6,94,75,10.36
74,Touros,BR,2021-01-11 19:44:48,-5.1989,-35.4608,84.2,61,40,18.41
75,Rocha,UY,2021-01-11 19:44:48,-34.4833,-54.3333,83.62,56,99,5.77
76,Fort Beaufort,ZA,2021-01-11 19:44:48,-32.7748,26.6338,69.76,84,98,2.42
77,Saint Andrews,US,2021-01-11 19:44:48,34.0454,-81.1293,48.99,61,90,3.44
78,Diplo,PK,2021-01-11 19:44:48,24.4667,69.584,60.01,28,0,9.66
79,Buraydah,SA,2021-01-11 19:44:48,26.326,43.975,55.4,67,0,4.61
80,Bengkulu,ID,2021-01-11 19:44:48,-3.8004,102.2655,75.36,94,100,7.45
81,Bandarbeyla,SO,2021-01-11 19:44:48,9.4942,50.8122,72.63,71,1,23.33
82,Chapais,CA,2021-01-11 19:44:48,49.7834,-74.8492,14.0,92,90,11.5
83,Salalah,OM,2021-01-11 19:44:48,17.0151,54.0924,71.6,24,0,9.22
84,Dzerzhinsk,RU,2021-01-11 19:44:49,56.2389,43.4631,-0.4,85,75,2.24
85,Cidreira,BR,2021-01-11 19:44:49,-30.1811,-50.2056,79.39,81,0,24.38
86,Krasnoselkup,RU,2021-01-11 19:44:49,65.7,82.4667,1.62,93,100,16.67
87,Yar-Sale,RU,2021-01-11 19:44:49,66.8333,70.8333,-8.7,81,100,10.31
88,Longyearbyen,SJ,2021-01-11 19:44:49,78.2186,15.6401,15.8,79,0,9.22
89,Rio Gallegos,AR,2021-01-11 19:44:49,-51.6226,-69.2181,55.4,33,40,24.16
90,Osmaniye,TR,2021-01-11 19:44:49,37.0742,36.2478,61.0,61,100,5.5
91,Sao Filipe,CV,2021-01-11 19:44:49,14.8961,-24.4956,70.86,70,90,18.23
92,Atar,MR,2021-01-11 19:44:49,20.5169,-13.0499,62.51,37,100,11.5
93,Lagoa,PT,2021-01-11 19:44:49,39.05,-27.9833,61.84,93,100,14.97
94,Bambous Virieux,MU,2021-01-11 19:44:50,-20.3428,57.7575,79.0,100,75,16.11
95,Rincon,US,2021-01-11 19:44:50,32.296,-81.2354,57.99,67,90,3.44
96,Havelock,US,2021-01-11 19:44:50,34.8791,-76.9013,53.01,62,40,4.61
97,Saint-Philippe,RE,2021-01-11 19:44:50,-21.3585,55.7679,78.8,89,90,2.3
98,Springbok,ZA,2021-01-11 19:44:50,-29.6643,17.8865,70.2,41,0,5.03
99,Bonthe,SL,2021-01-11 19:44:50,7.5264,-12.505,78.87,82,48,7.67
100,Visnes,NO,2021-01-11 19:44:50,59.3556,5.2242,30.2,86,14,3.44
101,Codrington,AU,2021-01-11 19:44:50,-38.2667,141.9667,58.05,71,100,12.44
102,Tchibanga,GA,2021-01-11 19:44:50,-2.85,11.0333,73.06,98,100,2.35
103,Sabha,LY,2021-01-11 19:44:50,27.0377,14.4283,68.86,22,91,8.81
104,Jibuti,DJ,2021-01-11 19:44:51,11.5,42.5,66.45,82,0,17.56
105,Fredericton,CA,2021-01-11 19:44:51,45.9454,-66.6656,30.2,47,1,6.91
106,Iranshahr,IR,2021-01-11 19:44:51,27.2025,60.6848,44.6,13,0,6.91
107,Victoria,HK,2021-01-11 19:42:17,22.2855,114.1577,50.0,32,10,4.0
108,Plettenberg Bay,ZA,2021-01-11 19:44:51,-34.0527,23.3716,69.82,90,61,10.58
109,Los Llanos De Aridane,ES,2021-01-11 19:44:51,28.6585,-17.9182,60.8,67,75,5.75
110,Kaniama,CD,2021-01-11 19:44:51,-7.5667,24.1833,66.47,96,39,0.65
111,Trinidad,BO,2021-01-11 19:44:51,-14.8333,-64.9,87.8,66,75,6.91
112,Lodwar,KE,2021-01-11 19:44:51,3.1191,35.5973,84.47,41,0,16.06
113,Floriano,BR,2021-01-11 19:44:51,-6.7669,-43.0225,79.5,81,100,2.35
114,Guane,CU,2021-01-11 19:44:52,22.2025,-84.0875,75.69,75,100,4.61
115,Jalu,LY,2021-01-11 19:44:52,29.0331,21.5482,67.08,39,86,10.4
116,Hatten,DE,2021-01-11 19:44:52,53.0167,8.35,41.0,81,75,18.41
117,Torbay,CA,2021-01-11 19:41:54,47.6666,-52.7314,27.0,86,90,14.97
118,Saint-Joseph,RE,2021-01-11 19:44:52,-21.3667,55.6167,78.8,89,90,2.3
119,Saldanha,ZA,2021-01-11 19:44:52,-33.0117,17.9442,75.2,50,0,5.75
120,Taltal,CL,2021-01-11 19:44:52,-25.4,-70.4833,70.38,57,100,7.72
121,Pangnirtung,CA,2021-01-11 19:44:52,66.1451,-65.7125,1.4,92,90,1.03
122,Hamilton,US,2021-01-11 19:44:21,39.1834,-84.5333,32.0,59,90,5.75
123,Beloha,MG,2021-01-11 19:44:52,-25.1667,45.05,75.7,80,0,13.82
124,Lahij,YE,2021-01-11 19:44:52,13.1667,44.5833,67.59,76,43,8.84
125,Okitipupa,NG,2021-01-11 19:44:53,6.5047,4.7839,77.47,85,0,3.96
126,Carutapera,BR,2021-01-11 19:44:53,-1.195,-46.02,83.89,67,66,8.7
127,Khomutovo,RU,2021-01-11 19:44:53,52.4658,104.4025,3.2,85,90,6.71
128,Elizabeth City,US,2021-01-11 19:44:17,36.2946,-76.2511,48.2,61,20,4.61
129,Lupiro,TZ,2021-01-11 19:44:53,-8.3833,36.6667,71.85,94,100,3.76
130,Raudeberg,NO,2021-01-11 19:44:53,61.9875,5.1352,28.4,93,20,9.22
131,Sao Joao Da Barra,BR,2021-01-11 19:44:53,-21.6403,-41.0511,86.0,54,0,18.41
132,Ostrovnoy,RU,2021-01-11 19:44:53,68.0531,39.5131,4.59,91,1,17.02
133,Nalut,LY,2021-01-11 19:44:53,30.3333,10.85,59.18,31,54,10.29
134,Mirabad,AF,2021-01-11 19:44:53,30.4362,61.8383,37.78,54,0,1.43
135,Linda,US,2021-01-11 19:44:54,39.1277,-121.5508,55.99,76,1,9.22
136,Senanga,ZM,2021-01-11 19:44:54,-16.1167,23.2667,70.57,90,100,5.19
137,Dingle,PH,2021-01-11 19:44:54,10.9995,122.6711,74.12,89,100,12.86
138,Hobyo,SO,2021-01-11 19:44:54,5.3505,48.5268,75.47,73,5,21.94
139,Talcahuano,CL,2021-01-11 19:44:54,-36.7167,-73.1167,64.4,45,0,18.41
140,Teguise,ES,2021-01-11 19:44:54,29.0605,-13.564,59.0,77,20,11.5
141,Bangalore,IN,2021-01-11 19:43:01,12.9762,77.6033,66.2,100,40,3.44
142,Ekuvukeni,ZA,2021-01-11 19:44:54,-28.4675,30.1551,65.73,90,6,4.43
143,Kralendijk,BQ,2021-01-11 19:44:25,12.15,-68.2667,82.4,69,0,21.85
144,Mega,ET,2021-01-11 19:44:54,4.05,38.3,62.67,50,0,8.21
145,Araouane,ML,2021-01-11 19:44:54,18.9048,-3.5265,68.07,24,0,12.17
146,Paamiut,GL,2021-01-11 19:44:54,61.994,-49.6678,28.06,98,100,15.9
147,Vallenar,CL,2021-01-11 19:44:55,-28.5708,-70.7581,88.14,16,0,10.09
148,Mount Pleasant,US,2021-01-11 19:44:55,32.7941,-79.8626,55.99,93,75,6.91
149,Vila Velha,BR,2021-01-11 19:43:39,-20.3297,-40.2925,82.4,69,40,18.41
150,Oistins,BB,2021-01-11 19:42:12,13.0667,-59.5333,82.4,65,40,16.11
151,Nazilli,TR,2021-01-11 19:44:55,37.9163,28.3223,66.2,59,0,8.05
152,Port Elizabeth,ZA,2021-01-11 19:42:34,-33.918,25.5701,66.2,100,90,16.11
153,Rawson,AR,2021-01-11 19:44:55,-43.3002,-65.1023,63.7,30,85,15.73
154,Edd,ER,2021-01-11 19:44:55,13.9297,41.6925,75.94,62,0,19.69
155,Los Andes,CL,2021-01-11 19:44:55,-32.8337,-70.5983,84.0,44,0,3.0
156,Moose Factory,CA,2021-01-11 19:44:55,51.2585,-80.6094,33.8,86,90,12.66
157,Tomaszow Lubelski,PL,2021-01-11 19:44:55,50.4477,23.4162,30.99,82,0,5.23
158,Saint Anthony,US,2021-01-11 19:44:56,45.0205,-93.218,35.01,69,1,9.22
159,Saint George,US,2021-01-11 19:44:56,37.1041,-113.5841,48.99,41,1,2.06
160,Progreso,MX,2021-01-11 19:44:56,21.2833,-89.6667,79.0,69,90,4.61
161,Inhambane,MZ,2021-01-11 19:44:56,-23.865,35.3833,77.83,84,40,8.32
162,Dharmabad,IN,2021-01-11 19:44:57,18.9,77.85,69.94,47,24,1.14
163,Kruisfontein,ZA,2021-01-11 19:44:57,-34.0033,24.7314,68.0,93,100,4.0
164,Penzance,GB,2021-01-11 19:44:57,50.1186,-5.5371,48.2,87,90,17.27
165,Castro,BR,2021-01-11 19:44:57,-24.7911,-50.0119,78.03,78,66,3.38
166,Mehamn,NO,2021-01-11 19:44:57,71.0357,27.8492,23.0,62,0,2.3
167,Bonavista,CA,2021-01-11 19:44:57,48.6499,-53.1147,26.01,93,54,2.3
168,Dustlik,UZ,2021-01-11 19:44:57,40.5247,68.0358,37.56,66,0,9.37
169,Cockburn Town,TC,2021-01-11 19:44:18,21.4612,-71.1419,80.6,65,75,11.5
170,Divnomorskoye,RU,2021-01-11 19:44:57,44.5011,38.1353,38.26,77,100,7.34
171,Oloron-Sainte-Marie,FR,2021-01-11 19:44:57,43.1944,-0.6107,28.4,93,0,3.44
172,Temiscaming,CA,2021-01-11 19:44:58,46.7212,-79.0971,32.0,80,100,5.75
173,Foso,GH,2021-01-11 19:44:58,5.7012,-1.2866,76.69,89,6,5.88
174,Akdepe,TM,2021-01-11 19:44:58,42.0551,59.3788,33.8,80,90,6.91
175,Svolvaer,NO,2021-01-11 19:44:58,68.2342,14.5683,28.4,59,0,19.57
176,Lasa,IT,2021-01-11 19:44:58,46.6166,10.7002,23.0,45,0,11.5
177,Kedrovyy,RU,2021-01-11 19:44:58,56.1667,91.8167,-9.4,77,96,6.71
178,Oranjemund,NA,2021-01-11 19:44:58,-28.55,16.4333,64.2,87,0,8.68
179,Veraval,IN,2021-01-11 19:44:58,20.9,70.3667,71.73,38,0,11.83
180,Tiznit,MA,2021-01-11 19:44:58,29.5833,-9.5,49.33,81,55,5.68
181,Adrar,MR,2021-01-11 19:44:58,20.5022,-10.0711,60.66,32,100,11.32
182,Vilhena,BR,2021-01-11 19:42:11,-12.7406,-60.1458,86.0,62,75,9.22
183,Ribas Do Rio Pardo,BR,2021-01-11 19:44:58,-20.4431,-53.7592,92.89,41,53,3.98
184,Kabalo,CD,2021-01-11 19:44:59,-6.05,26.9167,69.85,91,96,0.83
185,Kannur,IN,2021-01-11 19:44:59,11.8675,75.3576,76.8,85,100,3.71
186,Eregli,TR,2021-01-11 19:41:23,37.5133,34.0467,54.86,63,100,3.44
187,Ongandjera,NA,2021-01-11 19:44:59,-17.8833,15.0667,78.19,41,100,6.73
188,Lebu,CL,2021-01-11 19:40:23,-37.6167,-73.65,58.41,55,0,16.58
189,Duzce,TR,2021-01-11 19:41:18,40.8389,31.1639,60.19,61,97,4.88
190,Goundi,TD,2021-01-11 19:45:00,9.3627,17.366,76.26,17,0,3.96
191,La Tuque,CA,2021-01-11 19:45:00,47.4334,-72.7824,21.2,86,100,2.3
192,Olafsvik,IS,2021-01-11 19:45:00,64.8945,-23.7142,30.04,89,4,6.69
193,Andenes,NO,2021-01-11 19:45:00,69.3143,16.1194,28.0,68,20,19.57
194,Wakefield,GB,2021-01-11 19:45:01,53.6809,-1.499,46.99,93,100,13.31
195,Arlit,NE,2021-01-11 19:45:01,18.7369,7.3853,77.05,16,0,7.76
196,Sinnamary,GF,2021-01-11 19:45:03,5.3833,-52.95,79.56,82,23,14.09
197,Keti Bandar,PK,2021-01-11 19:45:03,24.1447,67.4497,60.67,31,0,6.89
198,Yangambi,CD,2021-01-11 19:45:04,0.8102,24.4336,78.35,63,95,1.99
199,Roald,NO,2021-01-11 19:45:04,62.5833,6.1333,28.4,93,75,5.75
200,Kiruna,SE,2021-01-11 19:45:06,67.8557,20.2251,-4.0,77,75,2.3
201,Natal,BR,2021-01-11 19:42:21,-5.795,-35.2094,84.2,61,40,12.66
202,Bubaque,GW,2021-01-11 19:45:07,11.2833,-15.8333,80.24,67,2,18.7
203,Chabahar,IR,2021-01-11 19:41:12,25.2919,60.643,65.03,45,0,8.75
204,Summerside,CA,2021-01-11 19:41:11,46.3959,-63.7876,28.99,68,0,8.05
205,Sassandra,CI,2021-01-11 19:45:07,4.95,-6.0833,78.3,88,13,7.58
206,Westport,US,2021-01-11 19:45:08,41.1415,-73.3579,36.0,69,90,6.91
207,Caravelas,BR,2021-01-11 19:45:08,-17.7125,-39.2481,81.16,72,0,10.09
208,Margate,GB,2021-01-11 19:41:29,51.3813,1.3862,45.0,82,100,1.99
209,Kibala,TD,2021-01-11 19:45:09,9.1104,18.3463,73.4,49,0,4.41
210,Aksum,ET,2021-01-11 19:45:10,14.1245,38.7244,49.89,64,12,2.98
211,Narsaq,GL,2021-01-11 19:45:11,60.9167,-46.05,42.8,36,75,25.32
212,Buta,CD,2021-01-11 19:45:11,2.7858,24.73,74.53,53,0,2.04
213,Youghal,IE,2021-01-11 19:43:25,51.95,-7.8506,48.99,87,75,20.71
214,Camacha,PT,2021-01-11 19:45:12,33.0833,-16.3333,59.0,58,75,13.8
215,Ferrol,ES,2021-01-11 19:45:12,43.4832,-8.2369,50.0,76,20,2.3
216,Hambantota,LK,2021-01-11 19:45:12,6.1241,81.1185,75.2,100,40,2.3
217,Kargat,RU,2021-01-11 19:45:12,55.1956,80.2811,-24.03,86,61,9.15
218,Quelimane,MZ,2021-01-11 19:45:13,-17.8786,36.8883,86.0,74,20,8.05
219,Kestel,TR,2021-01-11 19:40:31,40.1983,29.2124,55.4,82,40,4.61
220,Mar Del Plata,AR,2021-01-11 19:45:13,-38.0023,-57.5575,77.0,38,0,10.36
221,Thompson,CA,2021-01-11 19:45:13,55.7435,-97.8558,21.2,93,75,6.91
222,Santa Isabel Do Rio Negro,BR,2021-01-11 19:45:14,-0.4139,-65.0192,83.53,65,98,3.76
223,Colares,PT,2021-01-11 19:45:14,38.7992,-9.4469,46.99,65,0,6.73
224,Saint-Pierre,RE,2021-01-11 19:45:14,-21.3393,55.4781,78.8,89,90,2.3
225,Bindura,ZW,2021-01-11 19:45:14,-17.3019,31.3306,70.0,80,98,1.01
226,Taywarah,AF,2021-01-11 19:45:14,33.35,64.4167,19.85,56,0,4.14
227,Nador,MA,2021-01-11 19:45:15,35.174,-2.9287,53.6,62,40,9.22
228,Melilla,ES,2021-01-11 19:45:15,35.2937,-2.9383,53.6,62,40,9.22
229,Port-Gentil,GA,2021-01-11 19:45:15,-0.7193,8.7815,80.6,83,20,8.05
230,Mucuri,BR,2021-01-11 19:45:15,-18.0864,-39.5508,80.53,75,0,14.79
231,Grand-Santi,GF,2021-01-11 19:45:15,4.25,-54.3833,77.83,94,95,4.05
232,Maniitsoq,GL,2021-01-11 19:45:15,65.4167,-52.9,21.06,95,100,0.85
233,Marzuq,YE,2021-01-11 19:45:16,14.4,46.4667,56.23,38,67,8.37
234,Nauta,PE,2021-01-11 19:45:16,-4.5061,-73.5757,89.71,55,94,2.68
235,Ofaqim,IL,2021-01-11 19:45:16,31.3141,34.6203,57.99,55,75,1.99
236,Talara,PE,2021-01-11 19:45:16,-4.5772,-81.2719,86.0,48,0,13.8
237,Teguldet,RU,2021-01-11 19:45:16,57.3064,88.1667,-25.31,86,0,3.71
238,Campbellton,CA,2021-01-11 19:45:17,48.0075,-66.6727,26.6,59,49,9.22
239,Paso De Los Toros,UY,2021-01-11 19:45:17,-32.8167,-56.5167,68.0,94,90,11.5
240,Sistranda,NO,2021-01-11 19:45:17,63.7256,8.834,23.0,86,75,9.22
241,Vila Franca Do Campo,PT,2021-01-11 19:45:17,37.7167,-25.4333,59.0,100,75,4.61
242,Hofn,IS,2021-01-11 19:45:17,64.2539,-15.2082,24.8,58,0,4.61
243,Bardiyah,LY,2021-01-11 19:45:17,31.7561,25.0865,67.32,51,0,11.72
244,Solone,UA,2021-01-11 19:45:18,48.2081,34.8721,28.4,80,90,4.47
245,Pangoa,PE,2021-01-11 19:45:18,-12.1167,-73.0,81.21,76,65,3.58
246,Murovane,UA,2021-01-11 19:45:18,49.5214,22.9367,23.0,83,0,1.86
247,Montepuez,MZ,2021-01-11 19:45:18,-13.1256,38.9997,70.57,98,98,3.76
248,Jumla,NP,2021-01-11 19:45:18,29.2747,82.1838,37.51,48,64,4.0
249,Alvand,IR,2021-01-11 19:45:18,36.3187,49.1678,31.17,74,18,6.13
250,Pucara,PE,2021-01-11 19:45:18,-15.9803,-71.4606,62.6,59,75,9.22
251,Luba,GQ,2021-01-11 19:45:19,3.4568,8.5547,80.6,100,20,9.22
252,Bathsheba,BB,2021-01-11 19:45:19,13.2167,-59.5167,82.4,65,40,16.11
253,Belyy Yar,RU,2021-01-11 19:45:19,53.6039,91.3903,6.8,72,75,11.18
254,Bolanos De Calatrava,ES,2021-01-11 19:45:19,38.9069,-3.6635,33.01,93,0,1.14
255,Dovers,VC,2021-01-11 19:45:20,12.8833,-61.1833,77.0,83,40,13.8
256,Vardo,NO,2021-01-11 19:45:20,70.3705,31.1107,17.6,86,75,24.16
257,Danville,US,2021-01-11 19:42:41,36.586,-79.395,46.0,57,90,4.61
258,Adre,TD,2021-01-11 19:45:21,13.4667,22.2,65.98,22,0,11.79
